#separator:tab
#html:true
What are the three main components of biodiversity?	1.) Genetic Diversity 2.) Species Diversity 3.) Ecosystem Diversity (Remember the Pneumonic 'EGS')
Define Genetic Diversity?	The genetic variation within a population and between populations of a single species
Define Species Diversity	The variety of different species living/present within a specific region or habitat. (Most commonly used unit for monitoring biodiversity)
Define Ecosystem Diversity	The variety of different habitats in a region and the complex ecological interactions that occur within them.
What are the 4 benefits of Biodiversity?	Provisioning Servies, Regulating Services, Cultural Services, Supporting Services
What are Provisioning Services?	The products that humans recieve/obtain from nature, such as raw materials, food, medicines, and water.
What are Regulating Services?	Benefits humans recieve beyond raw materials, such as climate regulation, water/air purification, pollination and pest control.
What are Cultural Services?	Non-material benefits derived from nature, such as recreational, aesthetic, and spiritual experienes.
What is the difference between Extinction and Extirpation?	Extirpation is the disappearance of a species from a specific geograpic area, but continues to exist elsewhere.&nbsp;<br>Extinction is the complete loss of a species (no living individuals)
What is the difference between Endangered and Threatened Species?	Endangered are at risk of Extinction<br>Threatened are at risk of bein Endangered
What is the greatest threat to biodiversity?	Habitat Loss
What are the 4 threats to biodiversity?	1.) Habitat Loss<br>2.) Overexploitation<br>3.) Climate Change<br>4.) Invasive Species
What is an Invasive Species?	An introduced species that spreads rapidly because it lacks native predators causong harm to the environment
Define Overexploitation	Overharvesting plants and animals at unsustainable rates, leading to population declines.
How does Global Climate Change threaten biodiversity?	The climate is changing faster than species can adapt. Whiel some species may expand their range, habitat framentaion limits this, and pests/disease also expand their range.
What is Taxonomy?	The scientific discipline of naming and classifying organisms.
What is Nomenclature?	The specific way of naming things
Why are common names problematic in science? (3 reasons)	Cultural/Regional<br>1.) Different names for the same species<br>2.) Same name for different species<br>3.) Common names imply false relationships (e.g., Jellyfish are not fish)
What is the correct format for writing Binomial Name?	1.) Genus is first and Capitalized<br>2.) Specific/Species Epithet is second and lowercase<br>3.) The entire name should be italicized<br><br>PS. New species are ns sp
"In the mnemonic ""Great Scientists Investigate Every Animal,"" what do the letters stand for regarding naming rules?"	"<strong>G</strong>enus name first.<br><strong>S</strong>pecific epithet follows.<br><strong>I</strong>talicize the entire name.<br><strong>E</strong>pithets are lowercase.<br><strong>A</strong>bbreviation of genus allowed (e.g.,&nbsp;<span style=""font-style: italic;"">H. sapiens</span>)."
List the Linnaean hierarchal classification ranks from broadest to most specific.	"Domain&nbsp;<span style=""white-space-collapse: preserve;"">→</span><span style=""white-space-collapse: preserve;"">→</span>&nbsp;Kingdom&nbsp;<span style=""white-space-collapse: preserve;"">→</span><span style=""white-space-collapse: preserve;"">→</span>&nbsp;Phylum&nbsp;<span style=""white-space-collapse: preserve;"">→</span><span style=""white-space-collapse: preserve;"">→</span>&nbsp;Class&nbsp;<span style=""white-space-collapse: preserve;"">→</span><span style=""white-space-collapse: preserve;"">→</span>&nbsp;Order&nbsp;<span style=""white-space-collapse: preserve;"">→</span><span style=""white-space-collapse: preserve;"">→</span>&nbsp;Family&nbsp;<span style=""white-space-collapse: preserve;"">→</span><span style=""white-space-collapse: preserve;"">→</span>&nbsp;Genus&nbsp;<span style=""white-space-collapse: preserve;"">→</span><span style=""white-space-collapse: preserve;"">→</span>&nbsp;Species."
Modern classification groups all life into three&nbsp;<strong>Domains</strong>. What are they?	1. Bacteria (Prokaryotes)<br>2. Archaea (Prokaryotes)<br>3. Eukarya (Eukaryotes - includes Protists, Plantae, Fungi, Animalia)
What is Systematics?	Systematics classifies organims bassed on their evolutionary history (phylogeny)
What is the difference between Taxonomy and Systematics?	<strong>Taxonomy</strong>&nbsp;names and classifies based on similarities.<br><strong>Systematics</strong>&nbsp;classifies organisms based on their&nbsp;<strong>evolutionary history (phylogeny)</strong>.
What does phylogeny depict?	Evolutionary relationships among both extinct and living organisms as lines of evolutionary descent from common ancestors
What does the Branch Point (Node) represent?	The common ancestor of the two lineages descending from that node (speciation event)
Define Sister Taxa.	Two groups that share an immediate common ancestor not shared with any other taxa (they are each other's closest relative)
What is a Polytomy on a phylogenetic tree?	A node with three or more descendant lineages.<br>Usually indicates unresolved patterns of divergence (lack of data OR rapid speciation)
What is a clade?	A group that consists of an ancestor and ALL if its descendants
What is the difference between Cladogram and Phylogram?	In a Cladogram, only the branching pattern matters<br>In a Phylogram, the branch lenghts indicates evolutionary change or time
Does rotating a phylogenetic tree at a node change the relationships?	No. defined by pattern not order
What is Homology?	Similarity due to shared ancestry
What is Analogy (Homoplasy)?&nbsp;	Similarity due to convergent evolution (adaptation to similar environments), and not due to shared ancestry
What is a Paraphyletic group?	A group that consists of common ancestor but not ALL of its ancestor. (A clade with a missing descendant)
What is Polyphyletic?	A group that includes distantly related taxa but does NOT include the common ancestor of the group members
